    39/299       18G   0.03327   0.02777  0.002806   0.06384       116       640    0.8767    0.7721    0.8282    0.5245    0.5094   0.03135   0.02154  0.003177
    40/299       18G   0.03407   0.02779  0.002765   0.06463       141       640    0.8775    0.7724    0.8233    0.5216    0.5015   0.03234   0.02162  0.003118
    41/299       18G   0.03294   0.02746  0.002711   0.06311       229       640    0.8852    0.7537    0.8222     0.537    0.5117   0.03111    0.0218  0.002992
    42/299       18G   0.03302   0.02783  0.002808   0.06366       222       640    0.8696    0.7619    0.8293    0.5217    0.5006   0.03194   0.02171  0.002832
    43/299       18G   0.03322   0.02797  0.002779   0.06396       125       640    0.8799    0.7726    0.8287    0.5291    0.5093   0.03142   0.02164  0.003083
    44/299       18G   0.03268   0.02726  0.002771   0.06271       202       640    0.8499    0.7725    0.8173    0.5189     0.503   0.03126   0.02153  0.003381
    45/299       18G   0.03271    0.0276  0.002593    0.0629       154       640      0.85    0.7907    0.8254    0.5218    0.5096    0.0311   0.02163  0.003289
    46/299       18G   0.03273   0.02757  0.002833   0.06313       202       640     0.876    0.7826    0.8368    0.5347    0.5148   0.03065   0.02137  0.003273
    47/299       18G   0.03246   0.02774  0.002702    0.0629       148       640    0.8782    0.7562    0.8252    0.5506     0.516   0.03084   0.02172  0.003428
    48/299       18G   0.03232   0.02764  0.002616   0.06257       173       640    0.8709    0.7704    0.8292    0.5279      0.51    0.0307   0.02148  0.003121
    49/299       18G   0.03195   0.02733  0.002589   0.06187       168       640    0.8617    0.7855    0.8305    0.5249    0.5135   0.03065   0.02161  0.003215
    50/299       18G   0.03205    0.0274  0.002664   0.06212       169       640     0.815    0.7869     0.799    0.5015     0.491   0.03045   0.02137  0.003363
    51/299       18G   0.03183   0.02707  0.002499    0.0614       144       640    0.8624    0.7896    0.8339    0.5391    0.5192   0.03027   0.02132  0.003334
    52/299       18G   0.03206   0.02669  0.002625   0.06137       125       640    0.8832    0.7841    0.8358    0.5522    0.5216   0.03065   0.02151  0.003494
    53/299       18G   0.03182   0.02687  0.002654   0.06134       221       640    0.8924    0.7721    0.8422    0.5545    0.5308   0.03006   0.02122  0.003272
    54/299       18G   0.03158   0.02652  0.002452   0.06055       159       640    0.8499    0.7804    0.8302    0.5398    0.5188   0.03079    0.0215  0.003548
    55/299       18G   0.03155   0.02687  0.002526   0.06095       135       640     0.878    0.7739    0.8349    0.5407    0.5204   0.02998   0.02122  0.003492
    56/299       18G   0.03134   0.02702  0.002448    0.0608       163       640    0.8738    0.7932    0.8337    0.5525    0.5202    0.0302   0.02126  0.003491
    57/299       18G   0.03136   0.02671  0.002472   0.06054       132       640      0.86    0.7948    0.8411    0.5623    0.5319   0.02995   0.02136   0.00347
    58/299       18G   0.03111   0.02673  0.002385   0.06023       131       640    0.8704    0.7958    0.8441     0.543    0.5269   0.03012   0.02137  0.002839
    59/299       18G   0.03152   0.02687  0.002481   0.06087       168       640    0.8775    0.7886      0.84    0.5588    0.5285   0.02984   0.02131  0.003007
    60/299       18G   0.03084   0.02653  0.002375   0.05975       148       640    0.8683    0.8044    0.8467     0.547    0.5273    0.0306   0.02134  0.002833
    61/299       18G   0.03069   0.02686  0.002407   0.05996       161       640    0.8833    0.7694    0.8394    0.5499    0.5293   0.02978   0.02132  0.003188
    62/299       18G   0.03072   0.02603  0.002389   0.05914       165       640    0.8667    0.7915    0.8426    0.5627    0.5289   0.03035   0.02143  0.002866
